word,lang_code,meanings
ああ言う,es,"[""ese tipo de cosas"", ""Ese tipo de cosa""]"
ああ言う,ru,"[""Такая вещь"", ""такие вещи""]"
あいつ等,es,"[""Ese tipo, etc."", ""Ese chico, etc.""]"
あいつ等,ru,"[""Этот парень и т. д."", ""Тот парень и т. д.""]"
あくる日,ru,"[""На следующий день"", ""на другой день""]"
あっという間,es,"[""En un abrir y cerrar de ojos"", ""En un pestañeo""]"
あっという間,ru,"[""В мгновение ока"", ""В одно мгновение""]"
あっという間に,ru,"[""в мгновение ока"", ""во вспышке""]"
あなた方,ru,"[""вы парни"", ""вы, ребята"", ""ребята, вы""]"
あり得ない,ru,"[""Невозможный"", ""невозможно""]"
ある意味で,es,"[""en sentido"", ""en cierto sentido"", ""en un sentido""]"
ある意味で,ru,"[""в некотором смысле"", ""в смысле""]"
ある意味では,es,"[""en sentido"", ""en cierto sentido"", ""en un sentido""]"
ある意味では,ru,"[""в некотором смысле"", ""в смысле""]"
いいえ,es,"[""No"", ""ninguno"", ""imposible""]"
いい加減にしろ,ru,"[""Не принимайте близко к сердцу"", ""Не принимайте это близко к сердцу"", ""Успокойся""]"
いっその事,es,"[""Mejor aún"", ""mejor aun""]"
いっその事,ru,"[""Еще лучше"", ""А еще лучше""]"
いつの間にか,es,"[""en algún momento"", ""sin darse cuenta""]"
いつも通り,ru,"[""По-прежнему"", ""Как обычно"", ""как всегда""]"
いらっしゃい,ru,"[""Добро пожаловать"", ""Гостеприимство"", ""Приветствовать""]"
うつ伏せ,ru,"[""лицом вниз"", ""лицом вверх""]"
うつ病,ru,"[""депрессия"", ""подавленность""]"
ええ,ru,"[""Ага"", ""Да""]"
おせち料理,ru,"[""Блюда осэти"", ""Блюда Осечи""]"
おめでとう御座います,es,"[""¡Felicidades!"", ""¡Felicitaciones!"", ""Felicidades!""]"
おめでとう御座います,ru,"[""Поздравляем!"", ""Поздравления!""]"
お一人様,es,"[""por persona""]"
お一人様,ru,"[""на человека"", ""с человека""]"
お世話になる,ru,"[""спасибо за помощь"", ""Спасибо за вашу помощь"", ""Благодарим вас за помощь""]"
お中元,ru,"[""Подарок середины года"", ""Подарок на Середину года""]"
お久しぶり,es,"[""Mucho tiempo sin verlo"", ""Mucho tiempo sin verte"", ""Mucho tiempo sin vernos""]"
お互い,ru,"[""друг друга"", ""каждый""]"
お互いに,ru,"[""друг друга"", ""каждый""]"
お仕着せ,es,"[""Disfrazarse"", ""Ataviarse"", ""Endomingarse""]"
お会計,es,"[""verificar"", ""echa un vistazo"", ""caja""]"
お会計,ru,"[""проверить"", ""проверять, выписываться"", ""оформление заказа""]"
お使い,ru,"[""Поручение"", ""задание""]"
お先に,ru,"[""1) впереди (кого-л.)"", ""2) предстоящее, будущее"", ""3) (см.) おさきぼう""]"
お凸,ru,"[""Выпуклый"", ""Выпуклая""]"
お出かけ,ru,"[""Выходя"", ""выходя из дома""]"
お医者さん,ru,"[""врач"", ""доктор""]"
お参り,ru,"[""Посещать"", ""Посетите"", ""Посещение""]"
お名前,es,"[""nombre"", ""designar"", ""nombrar""]"
お名前,ru,"[""имя"", ""называть"", ""название""]"
お墨付き,es,"[""Aprobado""]"
お墨付き,ru,"[""Одобренный"", ""Утверждено"", ""Одобрено""]"
お大事に,ru,"[""заботиться"", ""береги себя"", ""Берегите себя""]"
お天気,es,"[""El clima"", ""El tiempo""]"
お婆ちゃん,es,"[""abuela"", ""abuelita"", ""nana""]"
お婆ちゃん,ru,"[""бабушка"", ""мама""]"
お子さん,ru,"[""ребенок"", ""ребёнок""]"
お子様,es,"[""niño"", ""hijo"", ""chico""]"
お子様,ru,"[""ребенок"", ""ребёнок""]"
お客様,ru,"[""клиент"", ""покупатель""]"
お家芸,es,"[""artesanía casera"", ""manualidades caseras""]"
お小遣い,es,"[""dinero de bolsillo"", ""efectivo""]"
お小遣い,ru,"[""карманные деньги""]"
お帰り,es,"[""Bienvenido a casa""]"
お帰りなさい,ru,"[""Добро пожаловать"", ""с возвращением"", ""добро пожаловать обратно""]"
お年寄り,es,"[""personas mayores"", ""gente mayor""]"
お年寄り,ru,"[""пожилые люди"", ""пожилой человек""]"
お店,es,"[""arrendador"", ""casero""]"
お店,ru,"[""магазин"", ""покупать""]"
お弁当,ru,"[""Коробка для ланча"", ""Ланч-бокс"", ""Обеденный бокс""]"
お待たせしました,ru,"[""Извините, что заставил вас ждать"", ""Простите, что заставил вас ждать""]"
お待ちかね,es,"[""no puedo esperar"", ""no puedes esperar""]"
お待ちかね,ru,"[""Не могу дождаться"", ""не могу ждать""]"
お手上げ,ru,"[""Руки вверх"", ""Поднимите руки""]"
お手伝い,ru,"[""помощь"", ""помогать"", ""Помогите""]"
お手数,es,"[""Lo siento por los inconvenientes ocasionados"", ""Perdón por las molestias"", ""Disculpe las molestias.""]"
